sources: https://en.wikipedia.org/wiki/List_of_file_signatures
[0]             [120]        [162]    [186]       [271]
[hex_signature] [ISO_8859-1] [offset] [extension] [Description]
[<START>]
[23 21]                                                                                                                [#!]                                      [0]                     []                                                                                   [Script or data to be passed to the program following the shebang (#!)]
[a1 b2 c3 d4]                                                                                                          [¡²ÃÔ]                                    [0]                     [pcap]                                                                               [Libpcap File Format]
[d4 c3 b2 a1]                                                                                                          [ÔÃ²¡]                                    [0]                     [pcap]                                                                               [Libpcap File Format]
[0a 0d 0d 0a]                                                                                                          [....]                                    [0]                     [pcapng]                                                                             [PCAP Next Generation Dump File Format]
[ed ab ee db]                                                                                                          [í«îÛ]                                    [0]                     [rpm]                                                                                [RedHat Package Manager (RPM) package]
[53 51 4c 69 74 65 20 66 6f 72 6d 61 74 20 33 00]                                                                      [SQLite format 3.]                        [0]                     [sqlitedb,sqlite,db]                                                                 [SQLite Database]
[53 50 30 31]                                                                                                          [SP01]                                    [0]                     [bin]                                                                                [Amazon Kindle Update Package]
[00]                                                                                                                   [.]                                       [0]                     [PIC,PIF,SEA,YTR]                                                                    [IBM Storyboard bitmap file. Windows Program Information File. Mac Stuffit Self-Extracting Archive. IRIS OCR data file]
[00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00]                                              [........................]                [11]                    [PDB]                                                                                [PalmPilot Database/Document File]
[BE BA FE CA]                                                                                                          [¾ºþÊ]                                    [0]                     [DBA]                                                                                [Palm Desktop Calendar Archive]
[00 01 42 44]                                                                                                          [..BD]                                    [0]                     [DBA]                                                                                [Palm Desktop To Do Archive]
[00 01 44 54]                                                                                                          [..DT]                                    [0]                     [TDA]                                                                                [Palm Desktop Calendar Archive]
[54 44 46 24]                                                                                                          [TDF$]                                    [0]                     [TDF$]                                                                               [Telegram Desktop File]
[54 44 45 46]                                                                                                          [TDEF]                                    [0]                     [TDEF]                                                                               [Telegram Desktop Encrypted File]
[00 01 00 00]                                                                                                          [....]                                    [0]                     []                                                                                   [Palm Desktop Data File (Access format)]
[00 00 01 00]                                                                                                          [....]                                    [0]                     [ico]                                                                                [Computer icon encoded in ICO file format]
[66 74 79 70 33 67]                                                                                                    [ftyp3g]                                  [4]                     [3gp,3g2]                                                                            [3rd Generation Partnership Project 3GPP and 3GPP2 multimedia files]
[1F 9D]                                                                                                                [..]                                      [0]                     [z,tar.z]                                                                            [compressed file (often tar zip). Using Lempel-Ziv-Welch algorithm]
